Categories,close,%Change,EMA50,lagged EMA50,RSI,RSI-based MA,RSI-RSIMA,ATR,ADX,MACD,RP,RHODL,RR,MVRV-Z,SupplyP,MinerFeeRev%,Thermocap,AA,AVGFees,Puell,INVCAP,ASOPR,AccuTrend,NUPL,BTCINFLATION,Liveliness,NVT,CVDD,SP500,NASDAQ,POSNEG
4,6235.56,1.46%,7107.277,7142.858,34.59324,45.8672,-11.274,401.6574,30.7004,-233.465,5097.095,2957.154,0.003643,0.475884,9430306,7.19E-03,8.64E+09,525905,8.00E-05,0.822071,7.91E+10,0.958057,0.033901,0.189792,0.046112,0.596755,34.27548,2574.774,#N/A,#N/A,1
4,6316.01,1.29%,7076.247,7107.277,36.51728,43.58843,-7.07114,395.2919,31.62842,-256.044,5095.376,2869.019,0.003701,0.455667,9494423,6.55E-03,8.65E+09,477808,7.75E-05,0.763415,7.90E+10,0.978921,0,0.195483,0.041954,0.596568,47.03023,2574.587,#N/A,#N/A,1
4,6269.01,1.19%,6981.61,7010.696,36.83169,38.66561,-1.83392,397.1569,32.37054,-296.879,5080.157,3073.196,0.003703,0.452578,9519334,1.09E-02,8.69E+09,680291,9.01E-05,0.798136,7.88E+10,0.978689,0.158584,0.193292,0.043599,0.596564,23.28614,2582.221,2818.37,7774.117,1
4,6315.9,0.75%,6955.504,6981.61,38.14849,37.69694,0.451546,388.4321,31.63675,-292.955,5078.768,2944.566,0.003681,0.46491,9618171,1.20E-02,8.70E+09,620626,0.000104,0.779277,7.87E+10,0.988887,0.151172,0.198328,0.042764,0.596595,27.9183,2585.332,2840.69,7806.523,1
4,6585.49,4.27%,6940.994,6955.504,45.2191,37.41668,7.802422,381.7662,30.49406,-265.036,5080.049,2934.617,0.003739,0.559732,10491935,1.29E-02,8.71E+09,652800,0.000107,0.76427,7.87E+10,1.006797,0.111891,0.228124,0.041103,0.596671,28.94434,2589.597,2850.13,7816.328,1
4,6489.53,1.45%,6902.779,6919.646,43.98476,37.55306,6.431699,364.7905,28.22318,-237.188,5080.049,2735.245,0.003686,0.531588,10247852,9.32E-03,8.74E+09,514081,0.000102,0.720467,7.87E+10,1.011748,0,0.218927,0.039165,0.596508,54.60294,2592.031,#N/A,#N/A,1
4,6475.89,3.47%,6861.772,6877.523,45.11782,38.08102,7.036806,351.4627,26.92916,-219.98,5078.502,2738.337,0.003667,0.525939,10263470,1.32E-02,8.76E+09,589558,0.000114,0.73381,7.87E+10,0.994034,0.122557,0.216912,0.039982,0.596646,25.47459,2598.121,2862.96,7859.172,1
4,6526.36,2.62%,6829.713,6842.095,46.93144,39.60644,7.324997,361.2304,23.98864,-190.044,5079.957,2601.634,0.003672,0.541678,10481693,1.03E-02,8.79E+09,569143,8.89E-05,0.740915,7.87E+10,1.000907,0.092964,0.223634,0.040248,0.597013,30.83667,2607.648,2856.98,7878.457,1
4,6690.88,2.52%,6824.269,6829.713,50.64136,40.90382,9.737539,354.9604,23.24862,-157.56,5079.457,2500.714,0.003718,0.604998,10920031,1.04E-02,8.80E+09,632119,8.72E-05,0.73861,7.87E+10,0.994568,0.034822,0.243619,0.039418,0.597038,31.21307,2608.418,2874.69,7945.977,1
4,6737.52,0.70%,6820.867,6824.269,51.6728,42.12379,9.54901,338.3204,22.78778,-126.593,5083.841,2590.554,0.003807,0.627251,11010275,1.23E-02,8.81E+09,548589,0.000107,0.698826,7.88E+10,1.038691,0,0.247846,0.036391,0.597143,37.59654,2614.652,#N/A,#N/A,1
4,6911.9,3.01%,6820.259,6816.518,55.59334,44.583,11.01034,326.0088,21.69951,-67.3851,5088.688,2691.593,0.003791,0.666505,11279322,1.39E-02,8.84E+09,664754,0.000146,0.955598,7.89E+10,1.014459,0.095664,0.261881,0.050189,0.597471,26.63944,2623.875,2896.74,8017.895,1
4,7071.01,2.30%,6830.092,6820.259,58.86844,46.30235,12.56609,321.511,22.0788,-25.9546,5093.893,2684.902,0.003926,0.745726,11463361,2.31E-02,8.85E+09,663712,0.00019,0.81983,7.90E+10,1.02676,0.139834,0.281187,0.041327,0.597608,25.19174,2628.078,2897.52,8030.039,1
4,7015.01,0.46%,6850.374,6843.654,57.05286,49.93509,7.117773,302.3189,22.00839,40.30474,5099.772,2535.466,0.003898,0.718878,11359588,1.29E-02,8.89E+09,650921,0.000107,0.828758,7.90E+10,0.996778,0.202226,0.275383,0.041864,0.598122,13.02969,2640.021,2901.52,8109.535,1
4,7191.08,2.51%,6863.735,6850.374,61.06837,51.32361,9.744754,299.5832,22.51068,67.53055,5101.363,2482.159,0.003957,0.775044,11653730,1.01E-02,8.91E+09,564618,9.01E-05,0.820332,7.91E+10,1.012194,0.143093,0.291125,0.040757,0.597955,28.36878,2640.178,#N/A,#N/A,1
4,7295,1.45%,6880.648,6863.735,63.25228,52.69986,10.55241,292.398,23.14515,96.38164,5103.233,2464.526,0.00402,0.804726,11670796,8.98E-03,8.92E+09,495862,8.72E-05,0.795979,7.91E+10,1.017174,0.071618,0.298417,0.038828,0.597769,29.45111,2640.486,#N/A,#N/A,1
